npi_row_index,pecos_row_indices
8751,[2543]
8765,[1735]
8766,[1679]
8772,"[3529, 1907]"
8775,[1928]
8779,[97]
8781,"[1597, 9207, 681]"
8783,[2165]
8785,[742]
8786,[5508]
8790,[3918]
8792,"[1931, 7866]"
8794,"[2236, 690]"
8797,"[2011, 15, 2672, 1598, 3152]"
8799,"[369, 3165, 5878]"
8801,"[1382, 1014]"
8803,"[2630, 2204]"
8804,[4391]
8806,[2645]
8809,[2529]
8810,"[6, 3432]"
8817,[3294]
8818,[2405]
8822,"[1005, 2152]"
8824,[2756]
8825,[2193]
8826,"[436, 3097, 1514]"
8827,[2403]
8830,"[3789, 3042]"
8832,[2822]
8835,[1071]
8837,[2085]
8843,[2455]
8844,[2948]
8846,"[1268, 1864]"
8847,[3666]
8849,"[4456, 4947]"
8850,[1982]
8851,"[4714, 992]"
8854,"[1905, 9]"
8857,[169]
8876,"[3461, 4150, 4573]"
8880,"[1088, 5120]"
8881,"[3584, 2431]"
8882,[298]
8887,[730]
8888,[2198]
8890,[3057]
8895,"[1927, 1179, 610]"
8899,[3106]
8901,"[3201, 3684]"
8902,[21]
8903,[3703]
8910,[7470]
8916,"[3349, 225, 8616]"
8930,"[72, 956]"
8931,"[131, 8559]"
8932,"[2257, 3661, 1183, 2857, 1556, 3736, 802]"
8934,[3456]
8935,[2]
8936,"[194, 2972, 1096, 414, 2842]"
8937,"[3090, 1915, 3554]"
8942,[2543]
8946,"[2068, 806]"
8947,[1630]
8948,[1385]
8950,"[860, 2751, 2092, 2108]"
8953,[1099]
8956,[7571]
8958,[1945]
8959,"[1254, 3326, 2990, 2201, 1639, 1185]"
8960,[191]
8963,"[2155, 2426]"
8964,[2799]
8965,"[2241, 1403]"
8966,"[2573, 3542, 2497]"
8967,[4432]
8973,"[1082, 3643, 2503]"
8975,"[3461, 4150]"
8976,[1351]
8983,[4384]
8984,"[3201, 3684]"
8989,"[1338, 825]"
8992,"[587, 1245]"
8993,[1473]
8998,"[1744, 306, 1944]"
8999,[2180]
9000,"[1794, 3833]"
9005,[1231]
9011,"[958, 995, 2283]"
9012,[1263]
9014,[1531]
9018,"[3542, 2497]"
9019,"[678, 1315]"
9021,"[2626, 2123, 950]"
9022,"[1597, 681, 9207]"
9023,[2937]
9024,"[727, 2264, 3338, 1226, 789, 3565, 895, 881, 2761, 3808, 355, 2764, 3512, 1042, 317, 2925, 1741, 899, 9175, 7379, 2938]"
9025,"[241, 1267, 1496, 284, 2478, 2104, 3738]"
9029,[1807]
9032,"[1781, 2763]"
9034,"[1796, 1415, 2212, 3218, 1459, 3650, 2330, 8993]"
9035,[3999]
9039,"[3613, 3345]"
9040,[3718]
9041,[4493]
9043,"[3153, 3873]"
9045,[1241]
9047,[298]
9048,[1225]
9052,"[3444, 1675]"
9053,[2443]
9055,"[1013, 4981]"
9056,[2721]
9058,[3681]
9059,[1745]
9062,"[424, 2693, 728]"
9075,"[3889, 634]"
9079,[2124]
9083,[331]
9086,[3656]
9089,"[3195, 2332]"
9090,[58]
9092,[2476]
9095,[8051]
9096,[2366]
9097,"[2431, 3344]"
9098,[1371]
9100,"[1597, 681, 9207]"
9101,[2014]
9102,[1931]
9106,"[749, 651]"
9108,"[1861, 44, 8937]"
9109,[1366]
9110,[3310]
9112,"[1597, 681]"
9115,[2795]
9116,"[3853, 2602]"
9120,[677]
9128,[3093]
9130,[5641]
9134,"[194, 2972, 414, 1096, 2842]"
9136,"[7059, 1077]"
9137,"[1315, 678, 2397]"
9140,[1642]
9141,[1593]
9146,[1786]
9159,"[442, 1062]"
9160,[19]
9166,"[228, 3817, 2334]"
